Question,Position,Average Price,Current Price,Realized PnL,Total Invested,Unrealized PnL,Overall PnL,Overall PnL (%)
"Bitcoin Up or Down - February 13, 12:15PM-12:30PM ET - Yes 🟢",1237.477059225,0.351994,0.495,0,879.968687,357.50837238693,357.50837238693,0.4062739705042822
"Bitcoin Up or Down - February 13, 12:30PM-12:45PM ET - Yes 🟢",1009.9762953000001,0.35,0.505,0,699.983571,309.9927243000001,309.9927243000001,0.442857142857143
"Bitcoin Up or Down - February 13, 1:30PM-1:45PM ET - Yes 🟢",524.9897652999999,0.256681,0.175,0,770.027988,-245.0382229683961,-245.0382229683961,-0.318219891727359
"Bitcoin Up or Down - February 13, 2:00PM-2:15PM ET - No 🔴",400,0.5,0.32,0,625,-225,-225,-0.36
"Bitcoin Up or Down - February 13, 5:15PM-5:30PM ET - Yes 🟢",344.99653700500005,0.11999,0.115,0,359.966387,-14.969849736129959,-14.969849736129959,-0.041586798870001045
"Bitcoin Up or Down - February 13, 3:15PM-3:30PM ET - Yes 🟢",334.34824185,0.293416,0.315,-155.579049,1461.984239,22.90975381616005,-132.66929518383995,-0.0907460502273171
"Bitcoin Up or Down - February 13, 3:00PM-3:15PM ET - Yes 🟢",257.5,0.02,0.515,0,10,247.5,247.5,24.75
Will Russia join the Board of Peace? - Yes 🟢,149.13814617,0.449458,0.09,-1684.127677,4939.172669,-595.654441621954,-2279.782118621954,-0.46157165813025236
"Bitcoin Up or Down - February 13, 6:00PM-6:15PM ET - Yes 🟢",117.5,0.32,0.235,0,160,-42.5,-42.5,-0.265625
"Bitcoin Up or Down - February 13, 6:00PM-6:15PM ET - No 🔴",20.542469265,0.769999,0.765,438.243386,2616.406598,-0.1342376520989994,438.109148347901,0.16744689020536593
"Bitcoin Up or Down - February 10, 4:15PM-4:30PM ET - No 🔴",13.894411659999998,0.31492,0.94,157.02293,399.999193,9.239488128119998,166.26241812812,0.41565688390806327
"Bitcoin Up or Down - February 13, 11:30AM-11:45AM ET - No 🔴",9.02466466,0.332674,0.005,0,600.454258,-591.429593560168,-591.429593560168,-0.9849702715575845
"Bitcoin Up or Down - February 10, 2:00PM-2:15PM ET - Yes 🟢",6.9298653340000005,0.239999,0.9995,214.864817,199.999166,5.265872587332001,220.130689587332,1.1006580376806772
"Bitcoin Up or Down - February 10, 3:15PM-3:30PM ET - No 🔴",6.41546025,0.240688,0.215,463.870026,862.295893,-0.7665132228000004,463.10351277719997,0.5370587017015979
"Bitcoin Up or Down - February 10, 5:15AM-5:30AM ET - Yes 🟢",4.819408865,0.240406,0.995,40.190535,139.998902,3.654971872438,43.845506872437994,0.31318464820844094
"Bitcoin Up or Down - February 10, 5:00AM-5:15AM ET - Yes 🟢",3.250270485,0.589999,0.465,47.04047,281.659522,-0.8737216351709995,46.166748364829,0.16390977317936722
"Bitcoin Up or Down - February 13, 3:30PM-3:45PM ET - No 🔴",2.7496591500000003,0.399763,0.525,650.067042,929.426314,0.6559220247020003,650.722964024702,0.7001340011820474
"Bitcoin Up or Down - February 13, 5:45PM-6:00PM ET - Yes 🟢",2.5416406749999996,0.392336,0.425,503.826323,2257.202257,0.1953415317839995,504.021664531784,0.2232948611356027
"Bitcoin Up or Down - February 10, 2:15PM-2:30PM ET - Yes 🟢",1.2126290800000001,0.235046,0.065,1035.257315,532.211328,-3.1723496082719995,1032.084965391728,1.9392390035556102
"Bitcoin Up or Down - February 10, 4:15PM-4:30PM ET - Yes 🟢",0.83755476,0.183703,0.06,-44.365415,353.587722,-1.726800607938,-46.092215607938,-0.1303558148094803
"Bitcoin Up or Down - February 10, 5:45PM-6:00PM ET - Yes 🟢",0.709645,0.44,0.9995,6.4106,20.46,0.39724499999999996,6.8078449999999995,0.33273924731182786
"Bitcoin Up or Down - February 13, 4:00PM-4:15PM ET - Yes 🟢",0.5000036975,0.224997,0.0005,244.983738,449.978621,-224.498660155315,20.48507784468498,0.04552455803158031
"Bitcoin Up or Down - February 10, 6:00PM-6:15PM ET - Yes 🟢",0.491959995,0.351748,0.295,16.289117,42.00876,-0.09463642642799996,16.194480573572,0.38550246599928206
