Question,Position,Average Price,Current Price,Realized PnL,Total Invested,Unrealized PnL,Overall PnL,Overall PnL (%)
"Bitcoin Up or Down - February 13, 3:30PM-3:45PM ET - No 🔴",5249.9837029499995,0.5,0.525,0,4999.984479,249.99922394999976,249.99922394999976,0.049999999999999954
"Bitcoin Up or Down - February 13, 3:30PM-3:45PM ET - Yes 🟢",4749.75069625,0.459937,0.475,0,4599.128602,150.62209418445036,150.62209418445036,0.03275013751930096
"Bitcoin Up or Down - February 13, 4:45PM-5:00PM ET - Yes 🟢",1689.982255,0.5,0.845,0,999.9895,689.9927549999999,689.9927549999999,0.6899999999999998
Will NVIDIA be the largest company in the world by market cap on March 31? - Yes 🟢,1540.4287038,0.851763,0.84,12.658246,1706.024813,-21.57150338428505,-8.913257384285052,-0.005224576639428428
Will Ken Paxton win the 2026 Texas Republican Primary? - Yes 🟢,1529.17375,0.597505,0.695,0,1314.660376,214.51337375000003,214.51337375000003,0.16317018270732458
Will Chong Won-oh win the 2026 Seoul Mayoral Election - Yes 🟢,1419.65695214,0.601228,0.71,0,1202.165507,217.49144506784796,217.49144506784796,0.18091639113036703
Will J.D. Vance win the 2028 Republican presidential nomination? - Yes 🟢,1395.1666973850001,0.492517,0.465,0,1477.727562,-82.56086454181286,-82.56086454181286,-0.05587015270262169
Will PH win the most seats in the 2026 Colombian Chamber of Representatives election? - Yes 🟢,1369.933384435,0.557939,0.685,0,1115.823741,254.10964344481113,254.10964344481113,0.2277327808217079
"Bitcoin Up or Down - February 13, 5:00PM-5:15PM ET - Yes 🟢",1289.933329575,0.4,0.645,0,799.958654,489.974675575,489.974675575,0.6124999999999999
"Bitcoin Up or Down - February 13, 6:15PM-6:30PM ET - No 🔴",1029.94701474,0.4,0.515,0,799.958846,229.98816834000002,229.98816834000002,0.28750000014375743
Will Alpine be the 2026 F1 Constructors Champion? - No 🔴,990.78198,0.990445,0.991,0,990.227102,0.5548778999999513,0.5548778999999513,0.00056035418428686
Will Williams be the 2026 F1 Constructors Champion? - No 🔴,983.989522368,0.969,0.984,0,968.989682,14.999840280000058,14.999840280000058,0.015479876162396594
Trump out as President by March 31? - No 🔴,972.50721595,0.964999,0.9725,26.946041,1964.272275,7.501055657420011,34.44709665742001,0.017536823736627863
"Bitcoin Up or Down - February 13, 6:15PM-6:30PM ET - Yes 🟢",970,0.5,0.485,0,1000,-30,-30,-0.03
"Bitcoin Up or Down - February 13, 2:00PM-2:05PM ET - Yes 🟢",964.996781725,0.4,0.965,0,399.998666,564.9981157249999,564.9981157249999,1.4125
Will Aston Martin be the 2026 F1 Constructors Champion? - No 🔴,963.5,0.92,0.9635,0,920,43.5,43.5,0.04728260869565217
"2026 Balance of Power: R Senate, D House - Yes 🟢",930.0075911250001,0.460612,0.465,0,921.231519,8.776071634100049,8.776071634100049,0.009526456111300343
Erdoğan out by end of 2026? - No 🔴,930,0.93,0.93,0,930,0,0,0
Will Olivia rank #1 among girl names on the SSA’s official list for 2025? - Yes 🟢,888.64109432,0.941115,0.824,0,1014.943524,-126.30242932195006,-126.30242932195006,-0.1244428151274652
Will Parti Québécois win the most seats in the 2026 Quebec general election? - Yes 🟢,809.841633525,0.69527,0.675,0,834.160878,-24.319244313409968,-24.319244313409968,-0.02915414155086996
"Bitcoin Up or Down - February 13, 3:15PM-3:20PM ET - Yes 🟢",789.9191356,0.4,0.79,0,399.959056,389.96007960000003,389.96007960000003,0.9750000000000001
Will the United Hearts Movement win the most seats in the 2025 Central African Republic National Assembly election? - Yes 🟢,787.4614,0.972161,0.9515,0,804.560444,-17.09904359999996,-17.09904359999996,-0.02125265258504302
Will Spain win the 2026 FIFA World Cup? - Yes 🟢,775,0.16,0.155,0,800,-25,-25,-0.03125
"Nicolás Maduro released from custody by December 31, 2026? - No 🔴",760.485913005,0.806665,0.845,0,725.985052,34.50086091721505,34.50086091721505,0.04752282546612964
"Bitcoin Up or Down - February 13, 3:35PM-3:40PM ET - Yes 🟢",759.7871202,0.35,0.76,0,349.901963,409.88515695,409.88515695,1.1714285722655404
Will JD Vance win the 2028 US Presidential Election? - Yes 🟢,734.9183329250001,0.27778,0.245,0,833.247406,-98.32907327869998,-98.32907327869998,-0.11800705597240105
Will the Oklahoma City Thunder win the 2026 NBA Finals? - Yes 🟢,730.000098185,0.399999,0.365,8.108367,908.105837,-69.99800941473109,-61.889642414731085,-0.06815245524595288
"2026 Balance of Power: D Senate, D House - Yes 🟢",729.9051,0.376999,0.365,0,753.89998,-23.99488026000006,-23.99488026000006,-0.03182767064140267
Will Partido Popular (PP) win the 2026 Castilla y León Regional Election? - Yes 🟢,710.1256500000001,0.95,0.9675,0,697.281,12.844650000000115,12.844650000000115,0.018421052631579112
"Bitcoin Up or Down - February 13, 5:00PM-5:15PM ET - Yes 🟢",709.90318298,0.48,0.355,0,959.869092,-249.96590949999995,-249.96590949999995,-0.2604166667968927
"Bitcoin Up or Down - February 13, 2:50PM-2:55PM ET - Yes 🟢",675,0.5,0.675,0,500,175,175,0.35
Will England win the 2026 FIFA World Cup? - Yes 🟢,675,0.138,0.135,0,690,-15,-15,-0.021739130434782608
Will Sentimental Value win Best International Feature Film at the 98th Academy Awards? - Yes 🟢,660.08696292,0.66581,0.66,0,665.897728,-5.810765537219936,-5.810765537219936,-0.008726213189932878
Will James Talarico be the Democratic nominee for Senate in Texas? - Yes 🟢,629.9982807299999,0.785998,0.63,0,785.995855,-155.99757428145813,-155.99757428145813,-0.1984712429322647
Will Alphabet be the third-largest company in the world by market cap on February 28? - Yes 🟢,585.0468,0.702502,0.585,0,702.5582,-117.51140016,-117.51140016,-0.16726215729885435
Will France win the 2026 FIFA World Cup? - Yes 🟢,575,0.13,0.115,0,650,-75,-75,-0.11538461538461538
"Bitcoin Up or Down - February 13, 3:20PM-3:25PM ET - Yes 🟢",544.9358529550001,0.4,0.545,0,399.95292,144.9829333550001,144.9829333550001,0.3624999996374576
Will Gavin Newsom win the 2028 US Presidential Election? - Yes 🟢,525,0.184443,0.175,0,553.329,-28.32899999999995,-28.32899999999995,-0.051197388895214156
"Bitcoin Up or Down - February 13, 1:45PM-1:50PM ET - Yes 🟢",524.998635,0.5,0.525,0,499.9987,24.99993500000005,24.99993500000005,0.0500000000000001
Will Luiz Inácio Lula da Silva win the 2026 Brazilian presidential election? - Yes 🟢,514.978536345,0.52,0.515,0,519.978328,-4.999791615000049,-4.999791615000049,-0.009615384614645034
Will the Fed decrease interest rates by 25 bps after the June 2026 meeting? - Yes 🟢,500,0.58368,0.5,0,583.68,-83.67999999999995,-83.67999999999995,-0.14336622807017538
Will bitcoin hit $1m before GTA VI? - No 🔴,495.1923069,0.519999,0.515,0,499.999038,-4.8067307615399955,-4.8067307615399955,-0.009613480019415548
Will Jesus Christ return before GTA VI? - No 🔴,495.1923069,0.519999,0.515,0,499.999038,-4.8067307615399955,-4.8067307615399955,-0.009613480019415548
Will PSG win the 2025–26 French Ligue 1? - Yes 🟢,491.11275842,0.875562,0.86,0,499.999615,-8.886856682014013,-8.886856682014013,-0.017773727049797853
Will the People Power Party (PPP) win the 2026 South Korean local elections? - No 🔴,484.5,0.916,0.969,0,458,26.5,26.5,0.05786026200873363
Will NVIDIA be the largest company in the world by market cap on February 28? - Yes 🟢,483.5,0.92,0.967,0,460,23.5,23.5,0.051086956521739134
Will Argentina win the 2026 FIFA World Cup? - Yes 🟢,475,0.11,0.095,0,550,-75,-75,-0.13636363636363635
Will John Cornyn win the 2026 Texas Republican Primary? - Yes 🟢,473,0.307272,0.215,0,675.9984,-202.99839999999995,-202.99839999999995,-0.3002942018797677
Will the Democratic Party of Korea (DP) win the 2026 South Korean local elections? - Yes 🟢,472.5,0.9,0.945,0,450,22.5,22.5,0.05
